Community,Community Latitude,Community Longitude,Venue,Venue Latitude,Venue Longitude
Dettingen an der Iller,48.109544,10.109281,Avia,48.12722512222776,10.109633248824526
Dettingen an der Iller,48.109544,10.109281,Raststätte Illertal Ost,48.12418598470977,10.11256633804292
Dettingen an der Iller,48.109544,10.109281,Bft Tankstelle Kirchdorf,48.081614,10.122249
Erolzheim,48.091068,10.072583,Aral,48.088416,10.078724
Erolzheim,48.091068,10.072583,Raststätte Illertal Ost,48.12418598470977,10.11256633804292
Erolzheim,48.091068,10.072583,Shell,48.12289371024067,10.112348612513502
Erolzheim,48.091068,10.072583,Avia,48.12722512222776,10.109633248824526
Erolzheim,48.091068,10.072583,Aral,48.1228436,10.11235783
Erolzheim,48.091068,10.072583,Bft Tankstelle Kirchdorf,48.081614,10.122249
Kirchberg an der Iller,48.132256,10.081464,Raststätte Illertal Ost,48.12418598470977,10.11256633804292
Kirchberg an der Iller,48.132256,10.081464,Shell,48.12289371024067,10.112348612513502
Kirchberg an der Iller,48.132256,10.081464,Aral,48.088416,10.078724
Kirchberg an der Iller,48.132256,10.081464,Avia,48.12722512222776,10.109633248824526
Kirchberg an der Iller,48.132256,10.081464,Aral,48.1228436,10.11235783
Kirchberg an der Iller,48.132256,10.081464,Bft Tankstelle Kirchdorf,48.081614,10.122249
Kirchdorf an der Iller,48.076496,10.126512,Bft Tankstelle Kirchdorf,48.081614,10.122249
Kirchdorf an der Iller,48.076496,10.126512,Shell,48.12289371024067,10.112348612513502
Kirchdorf an der Iller,48.076496,10.126512,Aral,48.03493731,10.15359854
Kirchdorf an der Iller,48.076496,10.126512,Aral,48.088416,10.078724
Kirchdorf an der Iller,48.076496,10.126512,Aral,48.1228436,10.11235783
Achstetten,48.258983,9.898085,AVIA,48.237482,9.87914
Achstetten,48.258983,9.898085,Aral,48.237475,9.882376
Achstetten,48.258983,9.898085,Speed Point Eble,48.228566,9.879593
Achstetten,48.258983,9.898085,Jet Tankstelle,48.24130972714855,9.874101877212524
Achstetten,48.258983,9.898085,RAN Tankstelle,48.218941386205685,9.878463418612094
Burgrieden,48.238255,9.93438,AVIA,48.237482,9.87914
Burgrieden,48.238255,9.93438,Aral,48.237475,9.882376
Burgrieden,48.238255,9.93438,Speed Point Eble,48.228566,9.879593
Burgrieden,48.238255,9.93438,RAN Tankstelle,48.218941386205685,9.878463418612094
Burgrieden,48.238255,9.93438,Jet Tankstelle,48.24130972714855,9.874101877212524
Laupheim,48.230018,9.883733,Aral,48.237475,9.882376
Laupheim,48.230018,9.883733,AVIA,48.237482,9.87914
Laupheim,48.230018,9.883733,Speed Point Eble,48.228566,9.879593
Laupheim,48.230018,9.883733,RAN Tankstelle,48.218941386205685,9.878463418612094
Laupheim,48.230018,9.883733,Jet Tankstelle,48.24130972714855,9.874101877212524
Mietingen,48.179243,9.903726,1A Autoservice Gehring,48.173089,9.860549
Mietingen,48.179243,9.903726,RAN Tankstelle,48.218941386205685,9.878463418612094
Mietingen,48.179243,9.903726,Speed Point Eble,48.228566,9.879593
Erlenmoos,48.063201,9.974997,RAN,48.071788,9.949199
Erlenmoos,48.063201,9.974997,Aral,48.072459,9.948053
Ochsenhausen,48.06947,9.951929,RAN,48.071788,9.949199
Ochsenhausen,48.06947,9.951929,Aral,48.072459,9.948053
Steinhausen an der Rottum,48.023423,9.956273,RAN,48.071788,9.949199
Steinhausen an der Rottum,48.023423,9.956273,Aral,48.072459,9.948053
Gutenzell-Hürbel,48.113537,9.997187,RAN,48.071788,9.949199
Gutenzell-Hürbel,48.113537,9.997187,Aral,48.072459,9.948053
Altheim,48.145555,9.448855,Aral,48.14845824,9.48534481
Altheim,48.145555,9.448855,AVIA,48.15018081665039,9.487271308898926
Altheim,48.145555,9.448855,Tankstelle Walz,48.15686098814262,9.501063454823184
Altheim,48.145555,9.448855,Tankpool24,48.109816,9.463453
Dürmentingen,48.113546,9.533605,AVIA,48.15018081665039,9.487271308898926
Dürmentingen,48.113546,9.533605,Aral,48.14845824,9.48534481
Dürmentingen,48.113546,9.533605,Tankpool24,48.109816,9.463453
Dürmentingen,48.113546,9.533605,Tankstelle Walz,48.15686098814262,9.501063454823184
Ertingen,48.096788,9.460739,Tankpool24,48.109816,9.463453
Ertingen,48.096788,9.460739,JET,48.06301838159971,9.414759997330997
Riedlingen,48.153148,9.47504,Aral,48.14845824,9.48534481
Riedlingen,48.153148,9.47504,AVIA,48.15018081665039,9.487271308898926
